"","name","start_time","end_time","activity_time","finished","replication","waiting_time","total_time"
"1","Airplane0",0,4.76,4.76,TRUE,1,0,4.76
"2","Airplane1",29,36.97,7.97,TRUE,1,0,7.97
"3","Airplane2",52,64.99,12.99,TRUE,1,0,12.99
"4","Airplane3",78,79.92,1.92,TRUE,1,0,1.92
"5","Airplane4",94,100.08,6.08,TRUE,1,0,6.08
"6","Airplane6",138,142.87,4.87,TRUE,1,0,4.87
"7","Airplane5",112,150.07,38.07,TRUE,1,0,38.07
"8","Airplane7",158,182.65,24.65,TRUE,1,0,24.65
"9","Airplane8",170,201.97,31.97,TRUE,1,0,31.97
"10","Airplane9",188,221.03,33.03,TRUE,1,0,33.03
"11","Airplane10",208,245.63,37.63,TRUE,1,0,37.63
"12","Airplane12",253,257.95,4.95,TRUE,1,0,4.95
"13","Airplane11",230,267.41,37.41,TRUE,1,0,37.41
"14","Airplane13",276,276.68,0.68,TRUE,1,0,0.68
"15","Airplane15",320,330.69,10.69,TRUE,1,0,10.69
"16","Airplane14",300,332.72,32.72,TRUE,1,0,32.72
"17","Airplane17",367,368.31,1.31,TRUE,1,0,1.31
"18","Airplane16",344,388.17,44.17,TRUE,1,0,44.17
"19","Airplane18",389,394.04,5.04,TRUE,1,0,5.04
"20","Airplane19",406,409.4,3.4,TRUE,1,0,3.4
"21","Airplane20",438,450.64,12.64,TRUE,1,0,12.64
"22","Airplane22",476,480.69,4.69,TRUE,1,0,4.69
"23","Airplane21",460,490.21,30.21,TRUE,1,0,30.21
"24","Airplane23",501,506.96,5.96,TRUE,1,0,5.96
"25","Airplane24",520,525.3,5.3,TRUE,1,0,5.3
"26","Airplane25",543,547.77,4.77,TRUE,1,0,4.77
"27","Airplane26",566,594.79,28.79,TRUE,1,0,28.79
"28","Airplane27",589,608.86,19.86,TRUE,1,0,19.86
"29","Airplane28",605,619.46,14.46,TRUE,1,0,14.46
"30","Airplane29",624,633.34,9.34,TRUE,1,0,9.34
"31","Airplane30",647,659.8,12.8,TRUE,1,0,12.8
"32","Airplane31",675,686.53,11.53,TRUE,1,0,11.53
"33","Airplane33",721,771.77,50.77,TRUE,1,0,50.77
"34","Airplane34",742,778.48,6.71,TRUE,1,29.77,36.48
"35","Airplane35",765,787.71,9.23,TRUE,1,13.48,22.71
"36","Airplane36",785,789.21,1.5,TRUE,1,2.71,4.21
"37","Airplane32",701,800.72,99.72,TRUE,1,0,99.72
"38","Airplane37",810,813.57,3.57,TRUE,1,0,3.57
"39","Airplane38",832,834.74,2.74,TRUE,1,0,2.74
"40","Airplane39",862,889.24,27.24,TRUE,1,0,27.24
"41","Airplane40",887,904.77,17.77,TRUE,1,0,17.77
