"","name","start_time","end_time","activity_time","finished","replication","waiting_time","total_time"
"1","Airplane0",0,34.49,34.49,TRUE,1,0,34.49
"2","Airplane1",21,44.08,23.08,TRUE,1,0,23.08
"3","Airplane2",38,44.6,6.6,TRUE,1,0,6.6
"4","Airplane3",61,103.79,42.79,TRUE,1,0,42.79
"5","Airplane4",92,106.46,14.46,TRUE,1,0,14.46
"6","Airplane5",107,122.3,15.3,TRUE,1,0,15.3
"7","Airplane6",134,140.27,6.27,TRUE,1,0,6.27
"8","Airplane7",156,170.61,14.61,TRUE,1,0,14.61
"9","Airplane8",174,175.27,1.27,TRUE,1,0,1.27
"10","Airplane10",214,223.79,9.79,TRUE,1,0,9.79
"11","Airplane9",196,232.23,36.23,TRUE,1,0,36.23
"12","Airplane12",255,255.31,0.31,TRUE,1,0,0.31
"13","Airplane11",236,273.77,37.77,TRUE,1,0,37.77
"14","Airplane13",273,276.24,3.24,TRUE,1,0,3.24
"15","Airplane14",296,305.99,9.99,TRUE,1,0,9.99
"16","Airplane16",340,346.68,6.68,TRUE,1,0,6.68
"17","Airplane17",353,353.14,0.14,TRUE,1,0,0.14
"18","Airplane15",317,367.81,50.81,TRUE,1,0,50.81
"19","Airplane19",391,391.47,0.47,TRUE,1,0,0.47
"20","Airplane18",379,418.87,39.87,TRUE,1,0,39.87
"21","Airplane21",426,426.13,0.13,TRUE,1,0,0.13
"22","Airplane20",408,436.35,28.35,TRUE,1,0,28.35
"23","Airplane23",470,473.09,3.09,TRUE,1,0,3.09
"24","Airplane24",492,497.71,5.71,TRUE,1,0,5.71
"25","Airplane22",444,500.65,56.65,TRUE,1,0,56.65
"26","Airplane26",538,539.66,1.66,TRUE,1,0,1.66
"27","Airplane25",514,540.66,26.66,TRUE,1,0,26.66
"28","Airplane27",567,572.37,5.37,TRUE,1,0,5.37
"29","Airplane28",593,596.07,3.07,TRUE,1,0,3.07
"30","Airplane29",616,624.04,8.04,TRUE,1,0,8.04
"31","Airplane30",641,671.18,30.18,TRUE,1,0,30.18
"32","Airplane32",690,692.75,2.75,TRUE,1,0,2.75
"33","Airplane33",709,786.91,77.91,TRUE,1,0,77.91
"34","Airplane34",729,799.04,12.13,TRUE,1,57.91,70.04
"35","Airplane31",671,799.45,128.45,TRUE,1,0,128.45
"36","Airplane35",755,812.26,13.22,TRUE,1,44.04,57.26
"37","Airplane37",795,814.42,2.16,TRUE,1,17.26,19.42
"38","Airplane38",815,836.44,21.44,TRUE,1,0,21.44
"39","Airplane36",772,837.35,37.9,TRUE,1,27.45,65.35
"40","Airplane39",838,846.72,8.72,TRUE,1,0,8.72
"41","Airplane40",851,869.21,18.21,TRUE,1,0,18.21
